icao,name,lat,lon,elev_ft,type,country
EBAM,Amougies Airfield,50.7401,3.4849,49,small_airport,BE
EBAR,Arlon-Sterpenich Ultralight Airfield,49.66198,5.88595,1138,small_airport,BE
EBAV,Avernas-le-Bauduin Ultralight Airfield,50.70615,5.06774,394,small_airport,BE
EBAW,Antwerp International Airport (Deurne),51.19067,4.46315,39,medium_airport,BE
EBBE,Beauvechain Air Base,50.7586,4.76833,370,medium_airport,BE
EBBL,Kleine Brogel Air Base,51.1683,5.47,200,medium_airport,BE
EBBN,Büllingen Airfield,50.415,6.27639,2067,small_airport,BE
EBBR,Brussels Airport,50.9014,4.48444,175,large_airport,BE
EBBT,Brasschaat Airfield,51.34259,4.50345,76,small_airport,BE
EBBX,Jehonville Air Base,49.89148,5.22741,1514,small_airport,BE
EBBY,Baisy-Thy Ultralight Airfield,50.56814,4.43522,525,small_airport,BE
EBBZ,Buzet Aerodrome,50.54234,4.38247,522,small_airport,BE
EBCF,Cerfontaine Airfield,50.1528,4.38722,955,small_airport,BE
EBCI,Brussels South Charleroi Airport,50.46196,4.45956,614,large_airport,BE
EBCV,Chièvres Air Base,50.5758,3.831,194,medium_airport,BE
EBDT,Schaffen Airfield,51.00403,5.0647,100,small_airport,BE
EBFN,Koksijde Air Base,51.0903,2.65278,20,medium_airport,BE
EBFS,Florennes Air Base,50.2433,4.64583,935,medium_airport,BE
EBGB,Grimbergen Airfield,50.94855,4.39181,70,small_airport,BE
EBGG,Overboelare Airfield,50.7556,3.86389,56,small_airport,BE
EBHN,Hoevenen Airfield,51.3061,4.38722,10,small_airport,BE
EBIS,Ath/Isieres Airfield,50.66364,3.80468,98,small_airport,BE
EBKH,Balen-Keiheuvel Airfield,51.18096,5.22112,131,small_airport,BE
EBKT,Kortrijk-Wevelgem International Airport,50.81888,3.20955,55,medium_airport,BE
EBLB,Elsenborn Air Base,50.48482,6.18301,1830,small_airport,BE
EBLE,Leopoldsburg Airfield,51.12,5.30722,207,small_airport,BE
